imdb_id,release_year,Director,original_language,Poster_Link
482571,2006.0,Francis Lawrence,en,"https://m.media-amazon.com/images/M/MV5BMjA4NDI0MTIxNF5BMl5BanBnXkFtZTYwNTM0MzY2._V1_UX67_CR0,0,67,98_AL_.jpg"
480249,2007.0,Ruben Fleischer,en,
120815,1998.0,Christopher Nolan,en,"https://m.media-amazon.com/images/M/MV5BZjhkMDM4MWItZTVjOC00ZDRhLThmYTAtM2I5NzBmNmNlMzI1XkEyXkFqcGdeQXVyNDYyMDk5MTU@._V1_UX67_CR0,0,67,98_AL_.jpg"
4154664,2019.0,Francis Lawrence,en,
3890160,2017.0,Steven Spielberg,en,"https://m.media-amazon.com/images/M/MV5BMjM3MjQ1MzkxNl5BMl5BanBnXkFtZTgwODk1ODgyMjI@._V1_UX67_CR0,0,67,98_AL_.jpg"
108052,1993.0,"Anna Boden, Ryan Fleck",en,"https://m.media-amazon.com/images/M/MV5BNDE4OTMxMTctNmRhYy00NWE2LTg3YzItYTk3M2UwOTU5Njg4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX67_CR0,0,67,98_AL_.jpg"
86190,1983.0,Edgar Wright,en,
6320628,2019.0,Steven Spielberg,en,
1074638,2012.0,Sam Mendes,en,"https://m.media-amazon.com/images/M/MV5BMWZiNjE2OWItMTkwNy00ZWQzLWI0NTgtMWE0NjNiYTljN2Q1XkEyXkFqcGdeQXVyNzAwMjYxMzA@._V1_UX67_CR0,0,67,98_AL_.jpg"
1454468,2013.0,Alfonso Cuarón,en,"https://m.media-amazon.com/images/M/MV5BNjE5MzYwMzYxMF5BMl5BanBnXkFtZTcwOTk4MTk0OQ@@._V1_UX67_CR0,0,67,98_AL_.jpg"
1877832,2014.0,Sam Mendes,en,"https://m.media-amazon.com/images/M/MV5BZGIzNWYzN2YtMjcwYS00YjQ3LWI2NjMtOTNiYTUyYjE2MGNkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX67_CR0,0,67,98_AL_.jpg"
1677720,2018.0,Alfonso Cuarón,en,
816711,2013.0,Bryan Singer,en,
264464,2002.0,Steven Spielberg,en,"https://m.media-amazon.com/images/M/MV5BMTY5MzYzNjc5NV5BMl5BanBnXkFtZTYwNTUyNTc2._V1_UX67_CR0,0,67,98_AL_.jpg"
3748528,2016.0,Marc Forster,en,
2527336,2017.0,Steven Spielberg,en,
770828,2013.0,Sam Mendes,en,
